id,name,popularity,duration_ms,album_name,release_date,artist_name,genre,artist_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,236001,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",2016-05-06,Justin Timberlake,dance pop,82,0.667,0.83,-5.715,0.0749,0.0123,0,0.191,0.701,113.03,2016
275a9yzwGB6ncAW4SxY7q3,Panda,68,247866,Panda,2016-02-26,Desiigner,pop rap,69,0.685,0.731,-5.503,0.414,0.0292,0,0.369,0.266,145.245,2016
0gb1J5UrTpzaU1s3nupgCd,No Money,70,189126,No Money,2016-04-01,Galantis,big room,75,0.671,0.916,-4.014,0.0397,0.0282,0.00762,0.24,0.803,126.01,2016
46jLy47W8rkf8rEX04gMKB,Wherever I Go,62,169773,Oh My My (Deluxe),2016-12-02,OneRepublic,dance pop,83,0.552,0.689,-6.444,0.0425,0.0915,0,0.27,0.349,99.961,2016
7FYH5AW3bVfZHJIQpq3UOA,I Don't Fuck With You,75,284386,Dark Sky Paradise,2015-02-24,Big Sean,detroit hip hop,84,0.824,0.733,-5.474,0.0613,0.0362,0,0.325,0.395,97.972,2015
7o1Pm9jpH0wFpN5g793Lnq,Can't Remember to Forget You (feat. Rihanna),62,206866,Shakira. (Expanded Edition),2014-03-14,Shakira,colombian pop,84,0.694,0.81,-3.556,0.0661,0.122,0,0.141,0.824,137.968,2014
2XMTqoHHSH0lvuXrvIEdco,Capsize,70,237706,Truce - EP,2016-09-02,FRENSHIP,electropop,59,0.683,0.708,-6.244,0.0305,0.0398,0.155,0.686,0.355,92.991,2016
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,75,210580,Please Don't Go,2015-11-06,Joel Adams,australian pop,61,0.513,0.768,-4.868,0.0587,0.0118,1.94E-05,0.294,0.235,84.264,2015
7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,67,217906,Revival (Deluxe),2015-10-09,Selena Gomez,dance pop,86,0.757,0.884,-5.488,0.0404,0.00795,5.87E-05,0.0973,0.398,120.012,2015
27PmvZoffODNFW2p7ehZTQ,Don't Mind,65,198236,Don't Mind,2016-04-25,Kent Jones,miami hip hop,54,0.464,0.771,-4.503,0.336,0.0235,0,0.063,0.69,158.777,2016
46NBoIAHrmR7qcUGCIFEjR,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),68,207272,This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016],2016-05-13,David Guetta,dance pop,87,0.367,0.915,-3.456,0.0488,0.0022,5.81E-05,0.0905,0.365,110.169,2016
3BtuIIrQlkujKPuWF2B85z,Too Good,72,263373,Views,2016-05-06,Drake,canadian hip hop,96,0.794,0.653,-7.839,0.104,0.0489,4.88E-05,0.1,0.397,117.996,2016
0WYuEJjG4AKiaQdPJ3JAn0,Bang Challenge,30,136013,Bang Challenge,2016-05-13,iLoveMemphis,None,51,0.829,0.659,-4.449,0.056,0.175,0,0.249,0.291,89.996,2016
7ghmZhLpmQe9nTluI1czmr,Say It,56,262521,Skin,2016-05-27,Flume,australian dance,75,0.581,0.531,-6.829,0.0322,0.0731,3.27E-06,0.0616,0.273,75.255,2016
2meEiZKWkiN28gITzFwQo5,Into You,76,244453,Dangerous Woman,2016-05-20,Ariana Grande,pop,97,0.623,0.734,-5.948,0.107,0.0162,1.75E-06,0.145,0.37,107.853,2016
7nD9nN3jord9wWcfW3Gkcm,All In My Head (Flex) (feat. Fetty Wap),65,210573,7/27 (Deluxe),2016-05-27,Fifth Harmony,dance pop,74,0.689,0.791,-5.194,0.053,0.023,0,0.0526,0.755,95.04,2016
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,83,187973,Illuminate,2017-04-20,Shawn Mendes,canadian pop,92,0.444,0.819,-4.078,0.341,0.106,0,0.107,0.747,82.695,2017
2CPqh63wRVscbceKcPxwvv,The Ocean (feat. Shy Martin),74,183414,The Ocean (feat. Shy Martin),2016-04-15,Mike Perry,big room,69,0.632,0.575,-6.478,0.029,0.0225,1.81E-06,0.104,0.188,90.037,2016
563SfWAHJs4FBZMkRN0IFN,Send My Love (To Your New Lover),63,223078,25,2015-11-20,Adele,british soul,83,0.691,0.51,-9.217,0.0878,0.0347,3.32E-06,0.182,0.515,164.055,2015
3pXF1nA74528Edde4of9CC,Don't,79,198293,T R A P S O U L,2015-10-02,Bryson Tiller,kentucky hip hop,81,0.765,0.356,-5.556,0.195,0.223,0,0.0963,0.189,96.991,2015
6xSsJNkReuJzerqcIlBzBi,I Bet,50,287850,I Bet,2015-01-26,Ciara,dance pop,73,0.739,0.616,-7.246,0.0621,0.0808,0,0.0759,0.341,129.016,2015
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),80,217706,Nine Track Mind,2016-01-29,Charlie Puth,dance pop,81,0.728,0.563,-8.053,0.134,0.621,0,0.179,0.352,100.017,2016
3qRHCvn70YpVFFkx3lrAYf,Body on Me (feat. Chris Brown),61,225217,Body on Me (feat. Chris Brown),2015-08-07,Rita Ora,australian pop,77,0.636,0.741,-5.436,0.041,0.0132,0,0.287,0.53,88.999,2015
3osQ5lSSqZb8HWRozdbVPw,M.I.L.F. $,61,162365,Double Dutchess,2017-09-22,Fergie,dance pop,72,0.773,0.706,-5.709,0.0999,0.00538,0.0148,0.0208,0.693,160.912,2017
0OwX5aROoW1Iip8FV51Efg,Alarm,62,205593,Alarm,2016-05-20,Anne-Marie,dance pop,81,0.756,0.589,-5.093,0.232,0.0812,0,0.176,0.811,146.928,2016
7Aik6WAROo330QJVCJZUeh,Let Me Hold You (Turn Me On),37,162425,Let Me Hold You (Turn Me On),2016-07-01,Cheat Codes,dance pop,77,0.681,0.774,-3.167,0.0787,0.0992,0,0.35,0.267,102.924,2016
0BBOLOV5JntPL3341swIre,Turn Me On,64,192106,Kevin Lyttle (US Domestic Release),2004-03-30,Kevin Lyttle,soca,55,0.677,0.682,-6.879,0.0361,0.0405,0,0.0351,0.875,106.279,2004
3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,76,196613,Blue,2018-11-09,Jonas Blue,dance pop,79,0.73,0.861,-4.1,0.0451,0.39,0,0.213,0.704,117.965,2018
7ciLq0Cip0yxiz6KANrOUq,Toothbrush,68,231813,DNCE,2016-11-18,DNCE,dance pop,69,0.556,0.785,-5.842,0.133,0.122,0,0.468,0.825,104.978,2016
1JOSD55tUYcs3kF4FV3xLQ,Deadpool Rap - Film Mix,40,205577,Deadpool (Original Motion Picture Soundtrack),2016-02-05,Junkie XL,big beat,63,0.817,0.888,-4.821,0.288,0.104,0,0.417,0.855,120.023,2016
3KwwE4sgCzMaKWq6QBebmX,Me Too,71,181240,Thank You (Deluxe Version),2017-05-12,Meghan Trainor,dance pop,82,0.934,0.694,-5.849,0.101,0.0962,1.20E-06,0.478,0.835,123.829,2017
3MeL7vAsVbgSrGFd0HioaJ,Forget You,57,222733,The Lady Killer (Deluxe),2010-11-09,CeeLo Green,atl hip hop,67,0.696,0.875,-3.682,0.0649,0.134,0,0.159,0.772,127.39,2010
